EXPORT DES DONNEES E-SITRANA
Date d'export: 01/05/2026 11:02:28

RENDEZ-VOUS
ID,Patient,Medecin,Service,Date,Heure,Statut
5,"Lala","Herinirina","lala.herinirina@email.com","+26134567890","Antsirabe, Madagascar","1995-07-25"
6,"Tiana","Rakotondrabe","tiana.rakotondrabe@email.com","+26134678901","Toliara, Madagascar","1991-11-30"
7,"Mamy","Razafindrabe","mamy.razafindrabe@email.com","+26134789012","Antsiranana, Madagascar","1987-09-14"
8,"Sahondra","Ravelonarivo","sahondra.ravelonarivo@email.com","+26134890123","Morondava, Madagascar","1993-04-08"

MEDECINS
ID,Prénom,Nom,Spécialité,Email,Téléphone
2,"Jean","Dupont","Cardiologue","jean.dupont@esitrana.mg","+26134000001"
3,"Marie","Razafindrabe","PÃ©diatre","marie.razafindrabe@esitrana.mg","+26134000002"
4,"Paul","Rakoto","GynÃ©cologue","paul.rakoto@esitrana.mg","+26134000003"
5,"Sophie","Andriamalala","MÃ©decin GÃ©nÃ©raliste","sophie.andriamalala@esitrana.mg","+26134000004"
6,"Michel","Rabe","Dermatologue","michel.rabe@esitrana.mg","+26134000005"
7,"Catherine","Rasoa","Ophtalmologue","catherine.rasoa@esitrana.mg","+26134000006"
8,"AndrÃ©","Tiana","OrthopÃ©diste","andre.tiana@esitrana.mg","+26134000007"
9,"Lucie","Ravelonarivo","Radiologue","lucie.ravelonarivo@esitrana.mg","+26134000008"
10,"FranÃ§ois","Razafy","Neurologue","francois.razafy@esitrana.mg","+26134000009"
11,"Ã‰lodie","Mahazo","Psychiatre","elodie.mahazo@esitrana.mg","+26134000010"
1,"Test","Doctor","General","test@test.com","123456789"

SERVICES
ID,Nom,Description
6,"Urgences","Service d'urgence 24h/24 et 7j/7 pour tous les cas mÃ©dicaux urgents"
7,"Imagerie MÃ©dicale","Radiographie, Ã©chographie, scanner et IRM pour diagnostics prÃ©cis"
8,"Chirurgie","Interventions chirurgicales programmÃ©es et d'urgence"
9,"MÃ©decine Interne","Diagnostic et traitement des maladies chroniques"
10,"KinÃ©sithÃ©rapie","RÃ©Ã©ducation fonctionnelle et thÃ©rapie physique"
11,"Nutrition","Conseils nutritionnels et suivi diÃ©tÃ©tique personnalisÃ©"
12,"Psychologie","Soutien psychologique et thÃ©rapie comportementale"
13,"Soins Palliatifs","Accompagnement et confort pour patients en fin de vie"
14,"Vaccination","Centre de vaccination pour enfants et adultes"
15,"Biologie","Analyses de sang et examens biologiques complets"
1,"Médecine générale","Consultations générales pour tous les problèmes de santé courants"
2,"Pédiatrie","Soins médicaux spécialisés pour les enfants et les adolescents"
3,"Gynécologie","Santé féminine et soins gynécologiques complets"
4,"Cardiologie","Diagnostic et traitement des maladies cardiaques"
5,"Laboratoire","Analyses médicales et tests de laboratoire"
